"t","P_a","SaO2sup","EtCO2","Pa_CO2","Vmca","CCO","DHbO2","DHbO2x"
0,89.84183088,0.9397396742,4.800029585,36.0031835057539,54.39194692,-0.422766659,-2.741338828,2.00694646442702
3.20000000000005,92.54550663,0.9459989827,4.77673935,35.8284923731789,59.2681391,-0.423599997,-2.361175149,3.42682177058841
6.39999999999998,90.66067122,0.9454211482,4.869908911,36.5273215662981,60.137144,-0.47172716,-2.193084415,4.05462472911656
9.60000000000002,86.15010716,0.9372482261,5.027001174,37.7056104647244,58.03033523,-0.520281544,-2.225657133,3.93296871488496
12.8,84.35007319,0.9292077048,5.115085982,38.3663008730509,56.96097522,-0.507346408,-2.251880158,3.83502820213453
16,86.06937651,0.9314270987,5.114068158,38.3586665650535,58.42031292,-0.455814479,-2.133851055,4.2758557141128
19.2,87.33416219,0.9453048813,5.11621409,38.3747623790935,60.3276057,-0.422625795,-1.965388705,4.90504662317626
22.4,86.85887543,0.960986196,5.166327152,38.7506412638528,60.76311859,-0.413743266,-1.905843432,5.12744257366194
25.6,88.31747136,0.9685264501,5.210893199,39.0849141136038,60.40137535,-0.409798854,-1.945378278,4.9797836712756
28.8,93.34770986,0.9680566583,5.207096669,39.0564377961448,60.83748458,-0.421119509,-1.95186485,4.95555693970391
32,97.23839205,0.9656843879,5.191822625,38.9418730420596,62.02233638,-0.463184994,-1.90134853,5.14423060656978
35.2,94.64922972,0.9640929055,5.216833509,39.129470103775,62.37525898,-0.513783407,-1.931152893,5.03291413585672
38.4,86.65896541,0.9625333156,5.273748718,39.556369287959,61.06221123,-0.5328484,-2.133409414,4.2775052013856
41.6,79.91699741,0.9623502446,5.313556113,39.8549493116217,59.31135378,-0.504318451,-2.388480641,3.32483834619771
44.8,80.26920263,0.9659600841,5.310423627,39.8314537338779,59.10154007,-0.448709171,-2.486627515,2.95826907494039
48,87.65044086,0.9715307534,5.286107987,39.649071431128,60.89774483,-0.414162485,-2.368205767,3.40056307877569
51.2,96.27087435,0.9739075846,5.287232668,39.6575072325562,63.19708299,-0.438161212,-2.154706941,4.19796095678772
54.4,100.3766665,0.971037616,5.345706414,40.0960964058574,64.13405091,-0.492762019,-1.980861283,4.8472580109589
57.6,99.84725883,0.9661401269,5.446066219,40.8488568653571,62.9610333,-0.505228141,-1.885016205,5.20523029233855
60.8,98.71849211,0.963145257,5.526045929,41.4487540378382,60.31813196,-0.459163462,-1.828052405,5.41798468586155
64,99.43878107,0.9622572108,5.524223112,41.4350817856601,57.93957363,-0.415954818,-1.743615872,5.73334713305783
67.2,101.0323778,0.9606506907,5.440918471,40.8102455791966,57.49037438,-0.411256733,-1.612598446,6.2226848003057
70.4,101.3811762,0.9562821076,5.344131151,40.0842809614202,58.57883143,-0.413503845,-1.537523545,6.50308243935109
73.6,99.18179861,0.9503890704,5.297294472,39.7329769706892,59.05475705,-0.412569809,-1.651767534,6.07639196937994
76.8,95.24685077,0.9465888361,5.293085626,39.7014080288312,58.40799945,-0.45043742,-1.900243701,5.14835703816039
80,92.21548207,0.9475504775,5.289956104,39.6779346829162,58.64273082,-0.530820259,-2.06360513,4.53821758552653
83.2,90.83774414,0.9523935571,5.294464394,39.7117496395311,60.37315963,-0.594266253,-2.081374572,4.471850403984
86.4,88.36992099,0.9577012108,5.349179636,40.1221477138354,61.31452609,-0.610867172,-2.139308447,4.25547287228734
89.6,83.66835495,0.9609208262,5.445208318,40.8424220785322,60.55495632,-0.613085944,-2.327076064,3.55417862088394
92.8,80.49134605,0.9615821416,5.513734614,41.3564115792568,60.66625024,-0.621728391,-2.463582349,3.0443405855483
96,81.83703191,0.9594857526,5.516394348,41.3763612253127,63.2317702,-0.614955337,-2.402841757,3.27120093919724
99.2,84.58996114,0.9544562599,5.491028352,41.1861006044932,65.56762805,-0.580095159,-2.277691506,3.7386252639571
102.4,83.95260187,0.9486363818,5.490185873,41.1797814921836,64.48744762,-0.539471126,-2.304985262,3.63668567241397
105.6,80.39241615,0.9454341174,5.51073922,41.3339442760987,61.15222253,-0.525122689,-2.518431021,2.83948599461683
108.8,78.24055301,0.9443239335,5.509699483,41.326145607081,59.71401065,-0.562564717,-2.774667942,1.88246538283259
