"t","P_a","SaO2sup","EtCO2","Pa_CO2","Vmca","CCO","DHbO2","DHbO2x"
0,100,0.9809978036,5.412439923,40.5966388979325,79.47174429,0.219957462,1.25906982,5.5779280803659
3.2,100,0.9793709528,5.507008853,41.3059642219623,69.17443649,0.509720305,1.096041996,5.41440947003879
6.4,100,0.9803157418,5.512915215,41.3502655811876,66.06002134,0.58595232,0.735039177,5.05231987184203
9.6,100,0.9822630964,5.441226542,40.8125563017764,69.13702506,0.509648741,0.250346116,4.56616766895231
12.8,100,0.9820910138,5.366556764,40.2524868955234,71.97108115,0.452034755,-0.205836466,4.10861177429671
16,100,0.9801967979,5.307833644,39.8120272633583,71.11075139,0.424023048,-0.598548325,3.71471767777329
19.2,100,0.9798017959,5.213176077,39.1020371071395,68.5923954,0.342202827,-0.872149587,3.44029275417261
22.4,100,0.9818984519,5.076356644,38.0758069420493,67.54974929,0.228524847,-0.933590271,3.37866710636155
25.6,100,0.9842375597,4.982741493,37.3736355490012,68.44593731,0.175263518,-0.884933598,3.4274702576083
28.8,100,0.9853054484,4.996064931,37.4735695545624,69.6746242,0.183398049,-0.971237162,3.34090688145996
32,100,0.9861143152,5.07719283,38.0820788529761,70.03047644,0.174431161,-1.205868622,3.10556907631191
35.2,100,0.9876007569,5.164557278,38.7373661168405,69.59188575,0.133970823,-1.334431239,2.97661942860111
38.4,100,0.9889644319,5.258256485,39.4401679817513,68.81073664,0.123599515,-1.256708546,3.0545761015077
41.6,100,0.9893165145,5.363180652,40.2271639724623,68.06605218,0.147733987,-1.193073597,3.11840262003326
44.8,100,0.9889655243,5.418158163,40.6395292260866,67.80630371,0.120743849,-1.328810745,2.98225684279019
48,100,0.9883814087,5.363948977,40.2329268840188,67.8579062,0.005188162,-1.55814196,2.75223523873916
51.2,100,0.9874075206,5.246516839,39.3521133933897,67.18995225,-0.098560567,-1.673345196,2.63668518971251
54.4,100,0.9861503518,5.176859336,38.8296391422103,65.37804216,-0.067210971,-1.615107833,2.69509787310131
57.6,100,0.9854502575,5.198901596,38.9949696922847,63.79604569,0.065020033,-1.50433477,2.80620441233499
60.8,100,0.985773037,5.256419544,39.4263897908587,64.61175899,0.119696704,-1.509243561,2.80128084368878
64,100,0.9864797891,5.288264356,39.6652455291077,67.73489506,0.009883341,-1.622007169,2.6881777670285
