"t","P_a","SaO2sup","EtCO2","Pa_CO2","Vmca","CCO","DHbO2","DHbO2x"
0,77.86772159,0.9773614029,4.899906712,36.7523235824413,55.34259488,0.724979266,0.396713368,3.8738048064123
3.20000000000005,83.36659228,0.9813121211,4.845397754,36.3434727654142,57.0097583,0.780963982,0.260784013,4.14214560744676
6.39999999999986,86.69386232,0.9840343616,4.819346246,36.1480703816338,57.40069411,0.765838814,-0.104869698,4.8639897573801
9.59999999999991,87.44197504,0.9852400025,4.854638337,36.4127828393539,57.10184349,0.685116931,-0.45066407,5.54662919737221
12.8,86.00054002,0.9857549689,4.938535237,37.0420613537412,57.2358671,0.63301189,-0.343448906,5.33497364297926
16,82.84095306,0.9869019909,5.006842666,37.5544092169249,57.57436394,0.681344536,0.144955926,4.37080410176441
19.2,79.93962042,0.989476531,5.020159957,37.6542971161935,57.46708586,0.778699219,0.469573768,3.72996966425562
22.3999999999999,80.37307345,0.9929777176,5.001426661,37.5137858377498,57.48279932,0.834423905,0.422144268,3.82360116881668
25.5999999999999,84.14917428,0.995928369,4.987771991,37.4113673878184,58.36322436,0.846668908,0.403990531,3.85943881645614
28.8,86.67237162,0.9972574832,4.992400287,37.4460824634771,59.34250729,0.845622501,0.698992976,3.27706871399796
32,84.58880077,0.9972974517,5.01000307,37.5781141968942,59.64923789,0.788945877,1.048685046,2.58673475207194
35.2,81.12853569,0.9971416894,5.016313796,37.6254485356121,60.6886843,0.645331677,1.209122759,2.27001152166629
38.3999999999999,81.47293994,0.997174139,4.987598069,37.4100628655086,63.77500317,0.517576022,1.344612603,2.00253836790202
41.5999999999999,84.72505948,0.9968095055,4.969304334,37.2728485657741,66.39145775,0.54659912,1.604508713,1.48947236870604
44.8,85.63818141,0.9958487734,5.06734507,38.0082145769082,64.50769905,0.718987276,1.838697168,1.02715635456971
48,82.68989696,0.9953416955,5.276082445,39.5738736803686,58.71758774,0.872867458,1.923748208,0.859255431311347
51.2,78.67906558,0.9963724287,5.37369264,40.3060103683589,54.20308316,0.889085606,1.932222855,0.842525464745521
54.3999999999999,75.20479673,0.998444058,5.149421791,38.623840625745,54.041913,0.800672868,1.911962995,0.882520851034568
57.5999999999999,73.11219468,0.9999864399,4.733955935,35.5075903633119,56.24288162,0.707819408,1.865567772,0.974110569120057
60.8,75.7483953,1.00027309,4.52077273,33.9085847917744,58.00105318,0.657587873,1.915158792,0.876211965607108
64,83.92201723,0.9999661927,4.694765257,35.2136360976636,58.98987414,0.641524976,2.154051684,0.404608830282009
67.2,90.57767215,0.9998689125,5.003999124,37.5330808974595,59.47910392,0.644904189,2.37820148,-0.0378896705778713
70.3999999999999,88.81095382,1.000010242,5.102196951,38.2696251880188,58.88503201,0.634582824,2.25561171,0.204117194535481
73.5999999999999,82.21306566,1.000068753,4.970757945,37.2837515451521,57.3904833,0.56087992,1.798923712,1.10567391277448
76.8,79.74237107,1.000000549,4.857031012,36.4307293781344,56.24141506,0.462728067,1.484376467,1.72662778757571
80,83.43271014,0.9999638291,4.900558032,36.7572088843057,55.95007474,0.490166426,1.733997305,1.23384640401207
83.2,87.49620086,0.9999963143,4.998560196,37.4922855816409,56.21643774,0.664434646,2.2473783,0.220370930416485
