"t","P_a","SaO2sup","EtCO2","Pa_CO2","Vmca","CCO","DHbO2","DHbO2x"
0,86.13409209,0.9999995985,5.29997284,39.7530663832423,77.67630717,0.154318017,0.400641044,4.99429197832278
3.2,85.11967742,0.999997697,5.262585007,39.4726345674493,73.36888527,0.138258619,0.497500377,5.36526977269166
6.4,84.45638925,0.9999984739,5.410063829,40.5788167268825,71.71186785,0.20411714,0.631069344,5.87684794733993
9.6,83.62720173,1.000003473,5.583038029,41.8762299519639,70.60564625,0.29352085,0.742185826,6.30243158635166
12.8,81.51908134,1.000004447,5.49223132,41.1951236067244,67.58779062,0.299815164,0.74219343,6.30246071018579
16,78.1045298,0.9999946439,5.17577434,38.8215010027678,64.87698691,0.24305734,0.673267423,6.03846944306119
19.2,75.64287775,0.999990155,4.981606284,37.3651207810772,65.6505104,0.239990317,0.709060656,6.1755599455497
22.4,76.67874992,1.00000811,5.097802942,38.2366674094152,68.50736172,0.317737937,0.931471257,7.02740758529378
25.6,80.4154624,1.000020395,5.342094824,40.0690072525064,69.89908224,0.372353261,1.1951461,8.03730006190933
28.8,83.31084988,0.9999883415,5.458681644,40.9434803365744,69.90366887,0.331137836,1.316055368,8.50039073342362
32,84.04578994,0.9999583092,5.418526531,40.6422922133696,71.2530148,0.25921278,1.294889892,8.419325529276
35.2,84.73318071,1.000015472,5.348968622,40.1205649786398,73.63577483,0.25697756,1.219657783,8.13118146511504
38.4,86.10820407,1.000090752,5.311190993,39.8372094523427,73.66884518,0.315541134,1.075410571,7.57870489012542
41.6,85.68369285,0.9999814767,5.26342594,39.478942083805,70.8984613,0.339471296,0.844406578,6.69394397799376
44.8,82.54163971,0.9996872405,5.190371598,38.930989444276,69.09619467,0.286533692,0.680870536,6.06758987992273
48,79.81804929,0.9995196992,5.146432157,38.6014165261409,70.27535888,0.214080581,0.746388345,6.31852751826783
51.2,80.20478881,0.9996872439,5.156289869,38.6753554483492,71.96892944,0.183946411,0.928831877,7.0172985814366
54.4,82.32584975,0.9999814953,5.181979967,38.8680470341396,71.98362237,0.189797242,0.959045032,7.13301700789763
57.6,83.37200547,1.000090753,5.214415897,39.1113365221085,71.20009271,0.196193469,0.787010588,6.47411345556162
60.8,82.68448678,1.000015427,5.268395056,39.5162135197496,70.1345843,0.183159234,0.619853058,5.83388881358985
64,81.40750692,0.9999582978,5.266765891,39.5039937770548,67.58794786,0.131505336,0.584405495,5.69812225057324
67.2,80.40810295,0.9999884281,5.110645895,38.3329974810172,64.27724713,0.033378279,0.57358033,5.65666113669814
70.4,79.52736822,1.000020434,4.903537202,36.7795544974536,63.25842721,-0.05795606,0.466411334,5.24619663596895
73.6,78.52333863,1.000007951,4.897194624,36.731981249083,65.5306483,-0.059799672,0.311229081,4.65183811459514
