T_maxn,uniform,1.47692667142340,2.74286381835774,2.10989524489057
T_mn,uniform,0.623555040916606,1.1580307902737,0.890792915595152
t_o,uniform,14,26,20
t_p,uniform,3.5,6.5,5
t_u,uniform,0.4,0.7,0.5
u,uniform,0.7,1.3,1
u_n,uniform,0.7,1.3,1
v_cn,uniform,28,52,40
v_on,uniform,0.0450727440992708,0.0837065247557886,0.0643896344275297
v_pn,uniform,70,130,100
v_un,uniform,0.7,1.3,1
Vol_mit,uniform,0.047,0.087,0.067
XOa,uniform,6.115,11.357,8.736
XOa_n,uniform,6.115,11.357,8.736
XOv_n,uniform,4.211,7.821,6.016
Xtot,uniform,6.4,11.8,9.1
Xtot_n,uniform,6.4,11.8,9.1
