"t","P_a","SaO2sup","EtCO2","Pa_CO2","CBF"
0,89.84183088,0.9397396742,4.800029585,36.0031835057539,0.010878389384
3.20000000000005,92.54550663,0.9459989827,4.77673935,35.8284923731789,0.01185362782
6.39999999999998,90.66067122,0.9454211482,4.869908911,36.5273215662981,0.0120274288
9.60000000000002,86.15010716,0.9372482261,5.027001174,37.7056104647244,0.011606067046
12.8,84.35007319,0.9292077048,5.115085982,38.3663008730509,0.011392195044
16,86.06937651,0.9314270987,5.114068158,38.3586665650535,0.011684062584
19.2,87.33416219,0.9453048813,5.11621409,38.3747623790935,0.01206552114
22.4,86.85887543,0.960986196,5.166327152,38.7506412638528,0.012152623718
25.6,88.31747136,0.9685264501,5.210893199,39.0849141136038,0.01208027507
28.8,93.34770986,0.9680566583,5.207096669,39.0564377961448,0.012167496916
32,97.23839205,0.9656843879,5.191822625,38.9418730420596,0.012404467276
35.2,94.64922972,0.9640929055,5.216833509,39.129470103775,0.012475051796
38.4,86.65896541,0.9625333156,5.273748718,39.556369287959,0.012212442246
41.6,79.91699741,0.9623502446,5.313556113,39.8549493116217,0.011862270756
44.8,80.26920263,0.9659600841,5.310423627,39.8314537338779,0.011820308014
48,87.65044086,0.9715307534,5.286107987,39.649071431128,0.012179548966
51.2,96.27087435,0.9739075846,5.287232668,39.6575072325562,0.012639416598
54.4,100.3766665,0.971037616,5.345706414,40.0960964058574,0.012826810182
57.6,99.84725883,0.9661401269,5.446066219,40.8488568653571,0.01259220666
60.8,98.71849211,0.963145257,5.526045929,41.4487540378382,0.012063626392
64,99.43878107,0.9622572108,5.524223112,41.4350817856601,0.011587914726
67.2,101.0323778,0.9606506907,5.440918471,40.8102455791966,0.011498074876
70.4,101.3811762,0.9562821076,5.344131151,40.0842809614202,0.011715766286
73.6,99.18179861,0.9503890704,5.297294472,39.7329769706892,0.01181095141
76.8,95.24685077,0.9465888361,5.293085626,39.7014080288312,0.01168159989
80,92.21548207,0.9475504775,5.289956104,39.6779346829162,0.011728546164
83.2,90.83774414,0.9523935571,5.294464394,39.7117496395311,0.012074631926
86.4,88.36992099,0.9577012108,5.349179636,40.1221477138354,0.012262905218
89.6,83.66835495,0.9609208262,5.445208318,40.8424220785322,0.012110991264
92.8,80.49134605,0.9615821416,5.513734614,41.3564115792568,0.012133250048
96,81.83703191,0.9594857526,5.516394348,41.3763612253127,0.01264635404
99.2,84.58996114,0.9544562599,5.491028352,41.1861006044932,0.01311352561
102.4,83.95260187,0.9486363818,5.490185873,41.1797814921836,0.012897489524
105.6,80.39241615,0.9454341174,5.51073922,41.3339442760987,0.012230444506
108.8,78.24055301,0.9443239335,5.509699483,41.326145607081,0.01194280213
112,78.88500193,0.9407107513,5.48021722,41.1050104440247,0.012383500426
115.2,79.44989986,0.9337836157,5.482708403,41.1236958535846,0.013029694138
118.4,78.9986006,0.9300223923,5.574223432,41.8101150358575,0.013268210446
121.6,81.61715848,0.9343361759,5.721059187,42.9114737960184,0.013180086036
124.8,89.46788339,0.941026124,5.823521854,43.6800070179839,0.013196614456
128,96.85053192,0.9391018101,5.826588062,43.7030054698343,0.013326123672
131.2,97.2604604,0.925849172,5.767459437,43.2595042999726,0.013275990416
134.4,92.72092282,0.9107652125,5.714850489,42.8649047302517,0.013066582438
137.6,89.44654673,0.9051722926,5.697891897,42.7377048268004,0.012935407066
140.8,88.26972902,0.9107748701,5.700351208,42.7561511766953,0.012883264076
144,86.14968761,0.9199985872,5.699758161,42.7517029582853,0.012808020206
147.2,83.33169186,0.9252892939,5.696351716,42.7261525190088,0.012781953906
150.4,82.98261294,0.9252857013,5.701585732,42.7654108683966,0.01283122818
153.6,86.25813322,0.9233067941,5.708124491,42.814455595311,0.012803947092
156.8,91.12165659,0.9234769521,5.696885,42.730152478045,0.012686751926
160,94.32366743,0.9279726324,5.682767257,42.6242606948976,0.012680408596
163.2,94.02391162,0.9347283407,5.713856566,42.8574496945012,0.012854862582
166.4,91.55430618,0.9383944556,5.78903986,43.4213707875936,0.013022360792
169.6,89.1602558,0.9366308602,5.815602129,43.6206041940136,0.012961130768
172.8,86.78152349,0.9339295363,5.709301834,42.8232863942316,0.012646006614
176,84.60379169,0.9356725595,5.513753034,41.356549740622,0.0123243138
179.2,85.85987465,0.9405680304,5.363480849,40.2294156351838,0.012268699824
182.4,91.49889728,0.9432085985,5.348666352,40.1182977671392,0.01236106193
185.6,96.06969005,0.9421348678,5.454703067,40.9136385542923,0.01223660052
188.8,94.94294559,0.9409140469,5.59692418,41.9803846522191,0.011937102864
192,90.93861704,0.9424731552,5.683806495,42.6320556211074,0.011916518654
195.2,88.65902369,0.9462134856,5.692460031,42.6969624803391,0.012278944054
198.4,87.88693932,0.950192942,5.700438682,42.7568072856668,0.012617399324
201.6,86.89290607,0.9531388545,5.793299452,43.4533203557619,0.01273460074
204.8,86.23741584,0.9539135797,5.940566355,44.557912991941,0.012863269692
208,85.80990549,0.9510037777,6.025218212,45.1928541496368,0.013045811412
211.2,84.00100166,0.9442408161,5.99463417,44.9634549642829,0.012988855558
