SaO2sup Pa_CO2 P_a Vmca_d TOI_d HbT_d CCO_d
0.98484 51.462 80.59 57.481 60.041 -0.52722 0.070117
0.98469 51.396 80.581 57.1 60.12 -0.48807 0.07773
0.9845 51.338 80.512 56.734 60.209 -0.45576 0.086113
0.98426 51.291 80.374 56.399 60.303 -0.43194 0.095118
0.984 51.256 80.167 56.105 60.397 -0.41804 0.10454
0.98373 51.236 79.898 55.862 60.485 -0.41512 0.11414
0.98345 51.231 79.583 55.675 60.563 -0.4238 0.1236
0.98319 51.243 79.245 55.545 60.625 -0.44418 0.13258
0.98297 51.269 78.914 55.467 60.668 -0.47577 0.14074
0.98279 51.308 78.622 55.436 60.69 -0.51746 0.14768
0.98267 51.356 78.401 55.44 60.687 -0.5676 0.15306
0.98262 51.41 78.28 55.465 60.661 -0.62397 0.15653
0.98264 51.463 78.282 55.498 60.612 -0.68399 0.15781
0.98274 51.511 78.419 55.521 60.544 -0.74479 0.15668
0.98291 51.547 78.692 55.52 60.458 -0.80342 0.153
0.98314 51.567 79.09 55.481 60.361 -0.85701 0.14674
0.98342 51.567 79.587 55.393 60.257 -0.90303 0.13796
0.98374 51.543 80.148 55.25 60.151 -0.93939 0.12683
0.98406 51.494 80.727 55.047 60.049 -0.96463 0.11366
0.98438 51.422 81.273 54.788 59.955 -0.97806 0.098816
0.98467 51.328 81.735 54.48 59.873 -0.97976 0.082784
0.98492 51.217 82.065 54.132 59.805 -0.97061 0.066105
0.98511 51.094 82.224 53.761 59.752 -0.95221 0.049364
0.98524 50.968 82.184 53.384 59.715 -0.9268 0.033165
0.9853 50.845 81.935 53.022 59.691 -0.89702 0.018094
0.9853 50.734 81.483 52.694 59.679 -0.86575 0.004694
0.98525 50.64 80.848 52.419 59.676 -0.83587 -0.006565
0.98516 50.572 80.069 52.217 59.679 -0.81004 -0.015312
0.98504 50.533 79.195 52.099 59.685 -0.79046 -0.021292
0.98491 50.527 78.283 52.075 59.692 -0.77873 -0.024383
0.98478 50.554 77.392 52.15 59.697 -0.77571 -0.024598
0.98466 50.613 76.579 52.323 59.7 -0.78146 -0.022083
0.98456 50.701 75.896 52.586 59.701 -0.79523 -0.017104
0.98448 50.812 75.382 52.929 59.701 -0.81556 -0.010034
0.98444 50.941 75.062 53.336 59.7 -0.84038 -0.0013222
0.98442 51.08 74.947 53.787 59.701 -0.86718 0.0085318
0.98443 51.221 75.029 54.262 59.705 -0.89326 0.01901
0.98446 51.356 75.286 54.739 59.715 -0.91589 0.029608
0.98452 51.478 75.682 55.198 59.731 -0.93258 0.039867
0.9846 51.579 76.173 55.62 59.755 -0.94125 0.049394
0.98469 51.655 76.706 55.99 59.786 -0.94038 0.057888
0.9848 51.703 77.232 56.296 59.824 -0.92916 0.065153
0.98492 51.721 77.703 56.533 59.869 -0.90749 0.0711
0.98506 51.709 78.08 56.697 59.917 -0.87601 0.075749
0.9852 51.67 78.335 56.793 59.969 -0.83604 0.079215
0.98535 51.609 78.452 56.828 60.021 -0.78943 0.081701
0.9855 51.531 78.43 56.812 60.071 -0.73849 0.083467
0.98564 51.445 78.278 56.758 60.119 -0.68571 0.084817
0.98578 51.359 78.015 56.681 60.163 -0.63368 0.086065
0.98589 51.285 77.668 56.596 60.201 -0.58486 0.087516
0.98596 51.233 77.266 56.517 60.235 -0.54141 0.089444
0.986 51.213 76.839 56.456 60.264 -0.50511 0.092071
0.98598 51.237 76.416 56.422 60.288 -0.47719 0.095556
0.98589 51.311 76.018 56.423 60.31 -0.45836 0.099986
0.98573 51.444 75.663 56.459 60.33 -0.44872 0.10537
0.98549 51.639 75.362 56.531 60.35 -0.44784 0.11166
0.98518 51.898 75.12 56.634 60.37 -0.4548 0.11874
0.9848 52.218 74.934 56.761 60.392 -0.46827 0.12642
0.98437 52.594 74.801 56.903 60.417 -0.48666 0.13451
0.98391 53.016 74.712 57.05 60.444 -0.50817 0.14278
0.98345 53.471 74.658 57.191 60.472 -0.53094 0.15099
0.98301 53.944 74.633 57.315 60.501 -0.55318 0.15892
0.98263 54.42 74.629 57.414 60.53 -0.57323 0.16635
0.98234 54.881 74.645 57.482 60.557 -0.58964 0.1731
0.98217 55.312 74.681 57.513 60.581 -0.60122 0.17902
0.98212 55.699 74.741 57.507 60.6 -0.60707 0.18398
0.9822 56.031 74.831 57.464 60.612 -0.60659 0.18788
0.98242 56.301 74.958 57.39 60.618 -0.59945 0.19066
0.98275 56.505 75.127 57.289 60.616 -0.58557 0.19227
0.98318 56.644 75.343 57.171 60.607 -0.56506 0.19265
0.98368 56.72 75.604 57.045 60.591 -0.53819 0.19178
0.98421 56.739 75.904 56.918 60.57 -0.50533 0.18963
0.98475 56.71 76.234 56.801 60.545 -0.46692 0.18617
0.98524 56.642 76.579 56.699 60.518 -0.42343 0.18137
0.98567 56.543 76.922 56.621 60.49 -0.37533 0.17521
0.98601 56.421 77.245 56.568 60.464 -0.32312 0.16766
0.98623 56.286 77.531 56.542 60.441 -0.26728 0.15873
0.98633 56.141 77.766 56.543 60.424 -0.20835 0.14845
0.9863 55.992 77.938 56.569 60.414 -0.14692 0.13688
0.98615 55.841 78.042 56.614 60.411 -0.083646 0.12412
0.98589 55.691 78.073 56.673 60.417 -0.019297 0.11031
0.98554 55.542 78.035 56.741 60.431 0.045238 0.095662
0.98513 55.394 77.929 56.811 60.454 0.10895 0.080412
0.98468 55.249 77.762 56.879 60.484 0.17073 0.064852
0.98424 55.106 77.54 56.938 60.521 0.22938 0.049303
0.98383 54.968 77.269 56.987 60.563 0.28369 0.034111
0.98348 54.834 76.957 57.022 60.608 0.33247 0.019625
0.98322 54.708 76.612 57.044 60.655 0.37462 0.0061858
0.98305 54.589 76.242 57.053 60.702 0.40924 -0.0058953
0.98299 54.48 75.859 57.052 60.747 0.43565 -0.016354
0.98303 54.38 75.473 57.042 60.788 0.45346 -0.024986
0.98316 54.289 75.1 57.026 60.823 0.46264 -0.031661
0.98338 54.206 74.755 57.009 60.853 0.46347 -0.03633
0.98365 54.128 74.452 56.992 60.876 0.45658 -0.039029
0.98396 54.051 74.207 56.977 60.892 0.44287 -0.039871
0.98428 53.973 74.035 56.967 60.9 0.42346 -0.039045
0.98459 53.889 73.946 56.963 60.901 0.39957 -0.036798
0.98486 53.797 73.947 56.965 60.895 0.37246 -0.033418
0.98507 53.695 74.043 56.973 60.884 0.34326 -0.029214
0.98521 53.584 74.23 56.986 60.866 0.31289 -0.024495
0.98526 53.465 74.503 57.006 60.844 0.28199 -0.019546
0.98521 53.341 74.848 57.031 60.818 0.25083 -0.014611
0.98505 53.217 75.246 57.062 60.789 0.21928 -0.0098778
0.98477 53.1 75.676 57.1 60.755 0.18687 -0.0054626
0.98438 52.997 76.111 57.147 60.719 0.15282 -0.0014096
0.98385 52.915 76.525 57.204 60.68 0.11614 0.0023095
0.9832 52.86 76.892 57.275 60.638 0.075767 0.0057871
0.98243 52.839 77.187 57.361 60.594 0.030751 0.0091665
0.98154 52.853 77.395 57.465 60.547 -0.01961 0.012623
0.98057 52.906 77.503 57.589 60.499 -0.075596 0.016343
0.97954 52.995 77.512 57.736 60.451 -0.13693 0.020501
0.97849 53.117 77.429 57.904 60.402 -0.20268 0.025239
0.97748 53.266 77.271 58.094 60.355 -0.27123 0.030646
0.97657 53.435 77.065 58.301 60.311 -0.34027 0.036747
0.97582 53.614 76.84 58.523 60.272 -0.4069 0.043491
0.97528 53.793 76.632 58.753 60.238 -0.4678 0.050751
0.97502 53.964 76.474 58.983 60.212 -0.51938 0.058332
0.97506 54.118 76.396 59.206 60.194 -0.55807 0.065978
0.97542 54.246 76.42 59.411 60.186 -0.58057 0.073398
0.9761 54.344 76.559 59.588 60.187 -0.58413 0.080277
0.97705 54.407 76.814 59.728 60.198 -0.56681 0.086312
0.97824 54.435 77.172 59.822 60.217 -0.52765 0.091225
0.97959 54.427 77.609 59.862 60.243 -0.46689 0.094796
0.98102 54.385 78.09 59.842 60.273 -0.38598 0.096873
0.98244 54.313 78.574 59.756 60.304 -0.2876 0.097392
0.98377 54.215 79.017 59.604 60.332 -0.17555 0.096379
0.98493 54.094 79.379 59.386 60.354 -0.054585 0.09395
0.98586 53.955 79.625 59.105 60.367 0.06987 0.090307
0.98653 53.8 79.733 58.767 60.367 0.19201 0.085717
0.9869 53.633 79.695 58.378 60.353 0.30603 0.080501
0.98698 53.455 79.521 57.948 60.324 0.40642 0.074999
0.98678 53.268 79.231 57.487 60.28 0.4884 0.069555
0.98634 53.075 78.862 57.006 60.222 0.54815 0.064483
0.9857 52.875 78.457 56.514 60.154 0.58307 0.060049
0.98493 52.673 78.063 56.022 60.078 0.59197 0.056445
0.98408 52.47 77.726 55.539 59.999 0.57511 0.053779
0.98323 52.272 77.486 55.073 59.92 0.53418 0.052067
0.98243 52.081 77.372 54.629 59.848 0.47218 0.051227
0.98175 51.906 77.402 54.212 59.784 0.39323 0.051092
0.98123 51.752 77.58 53.825 59.733 0.30228 0.051418
0.9809 51.628 77.899 53.469 59.697 0.20476 0.051907
0.98079 51.539 78.338 53.143 59.676 0.10627 0.052227
0.98089 51.495 78.871 52.847 59.672 0.012212 0.05204
0.98119 51.501 79.465 52.579 59.683 -0.07256 0.051029
0.98167 51.563 80.082 52.337 59.708 -0.14399 0.048922
0.98227 51.683 80.687 52.119 59.746 -0.19908 0.045517
0.98297 51.862 81.246 51.927 59.793 -0.23595 0.040696
0.9837 52.097 81.728 51.759 59.847 -0.254 0.034438
0.98442 52.383 82.107 51.617 59.906 -0.25378 0.026822
0.98508 52.711 82.366 51.505 59.968 -0.23692 0.018026
0.98565 53.069 82.492 51.426 60.03 -0.20596 0.0083142
0.9861 53.445 82.483 51.386 60.091 -0.16408 -0.001981
0.98642 53.825 82.342 51.39 60.149 -0.11489 -0.01248
0.9866 54.192 82.082 51.444 60.203 -0.06209 -0.022785
0.98666 54.534 81.723 51.553 60.252 -0.0092746 -0.032507
0.9866 54.839 81.291 51.722 60.295 0.04034 -0.041295
0.98646 55.097 80.816 51.954 60.333 0.084093 -0.048864
0.98626 55.302 80.331 52.252 60.366 0.12001 -0.055016
0.98602 55.453 79.867 52.612 60.392 0.14687 -0.059658
0.98578 55.549 79.455 53.033 60.414 0.16422 -0.062809
0.98555 55.596 79.118 53.507 60.43 0.17233 -0.064602
0.98534 55.6 78.873 54.025 60.442 0.17208 -0.065275
0.98517 55.571 78.728 54.577 60.449 0.16484 -0.065158
0.98504 55.517 78.683 55.148 60.453 0.1523 -0.06464
0.98493 55.45 78.727 55.724 60.453 0.13632 -0.064148
0.98483 55.38 78.844 56.289 60.45 0.11872 -0.064107
0.98473 55.316 79.013 56.827 60.444 0.10118 -0.064904
0.98461 55.264 79.21 57.323 60.435 0.08511 -0.066854
0.98444 55.23 79.409 57.764 60.423 0.071533 -0.070168
0.9842 55.216 79.587 58.139 60.408 0.061057 -0.074928
0.9839 55.225 79.725 58.44 60.391 0.053853 -0.081072
0.98351 55.255 79.807 58.663 60.373 0.049674 -0.088386
0.98305 55.304 79.825 58.809 60.355 0.047904 -0.096514
0.98251 55.369 79.777 58.879 60.338 0.047638 -0.10497
0.98193 55.445 79.666 58.883 60.322 0.04777 -0.11319
0.98132 55.527 79.499 58.831 60.31 0.0471 -0.12052
0.98072 55.611 79.289 58.738 60.303 0.044439 -0.12633
0.98016 55.693 79.049 58.618 60.301 0.038711 -0.13
0.97967 55.768 78.794 58.49 60.305 0.029047 -0.13102
0.97929 55.832 78.537 58.372 60.316 0.014865 -0.12901
0.97904 55.881 78.289 58.281 60.333 -0.0040736 -0.12375
0.97894 55.914 78.06 58.232 60.354 -0.027628 -0.11523
0.97901 55.928 77.854 58.237 60.379 -0.055263 -0.10366
0.97924 55.922 77.676 58.306 60.404 -0.086065 -0.08945
0.97962 55.895 77.526 58.444 60.429 -0.11878 -0.073216
0.98014 55.848 77.405 58.651 60.449 -0.15187 -0.055725
0.98076 55.782 77.313 58.923 60.463 -0.18363 -0.037864
0.98145 55.698 77.251 59.251 60.468 -0.21224 -0.020575
0.98216 55.599 77.221 59.62 60.463 -0.23594 -0.0047969
0.98287 55.487 77.228 60.015 60.447 -0.2531 0.0086034
0.98354 55.366 77.278 60.415 60.421 -0.26239 0.018891
0.98412 55.24 77.376 60.797 60.385 -0.26286 0.025517
0.98461 55.111 77.527 61.139 60.341 -0.25405 0.028165
0.98498 54.984 77.734 61.419 60.291 -0.23607 0.026772
0.98524 54.862 77.995 61.617 60.238 -0.20962 0.021545
0.98537 54.749 78.302 61.714 60.185 -0.17598 0.012949
0.98538 54.647 78.641 61.699 60.135 -0.13701 0.0016804
0.9853 54.559 78.993 61.564 60.09 -0.09502 -0.011374
0.98514 54.488 79.33 61.305 60.051 -0.052674 -0.025197
0.98493 54.434 79.625 60.927 60.02 -0.012844 -0.038701
0.98468 54.399 79.846 60.44 59.998 0.021569 -0.050804
0.98443 54.383 79.966 59.86 59.983 0.047814 -0.060499
0.9842 54.383 79.961 59.206 59.977 0.063466 -0.066919
0.98402 54.399 79.818 58.505 59.976 0.066588 -0.069394
0.9839 54.427 79.532 57.782 59.981 0.055864 -0.067494
0.98386 54.464 79.111 57.066 59.989 0.030693 -0.061054
0.98392 54.508 78.574 56.386 59.999 -0.0087637 -0.050189
0.98407 54.555 77.951 55.766 60.01 -0.061582 -0.035278
0.9843 54.602 77.279 55.229 60.02 -0.12613 -0.016945
0.98461 54.649 76.601 54.793 60.031 -0.20018 0.003988
0.98496 54.693 75.961 54.469 60.041 -0.281 0.026548
0.98533 54.735 75.402 54.263 60.051 -0.36559 0.049677
0.98567 54.775 74.958 54.175 60.062 -0.45082 0.072293
0.98593 54.815 74.658 54.197 60.074 -0.53359 0.093359
0.98607 54.855 74.518 54.317 60.089 -0.61108 0.11194
0.98603 54.897 74.543 54.518 60.107 -0.6808 0.12724
0.98577 54.94 74.727 54.78 60.129 -0.7408 0.13868
0.98525 54.986 75.051 55.08 60.155 -0.78966 0.14589
0.98446 55.033 75.488 55.398 60.186 -0.82656 0.14872
0.9834 55.082 76.005 55.711 60.221 -0.85127 0.14726
0.98208 55.129 76.566 56.001 60.26 -0.86406 0.1418
0.98056 55.174 77.13 56.252 60.3 -0.86565 0.13281
0.97889 55.216 77.663 56.455 60.341 -0.85708 0.12092
0.97717 55.252 78.131 56.603 60.38 -0.83961 0.10683
0.9755 55.283 78.512 56.694 60.416 -0.81459 0.091295
0.97398 55.307 78.787 56.732 60.447 -0.78335 0.07509
0.97272 55.327 78.949 56.723 60.472 -0.74715 0.058934
0.9718 55.341 78.998 56.677 60.489 -0.70709 0.043476
0.9713 55.353 78.939 56.606 60.498 -0.66409 0.02926
0.97127 55.361 78.788 56.522 60.5 -0.61892 0.016707
0.97171 55.368 78.56 56.436 60.494 -0.57217 0.0061105
0.97261 55.374 78.275 56.359 60.482 -0.52437 -0.0023665
0.9739 55.378 77.953 56.3 60.467 -0.47597 -0.0086791
0.97549 55.379 77.614 56.265 60.449 -0.42748 -0.012885
0.97729 55.376 77.274 56.257 60.432 -0.37943 -0.015124
0.97917 55.366 76.949 56.276 60.417 -0.33247 -0.015592
0.98102 55.348 76.647 56.32 60.407 -0.28738 -0.014521
0.98272 55.321 76.376 56.384 60.403 -0.24501 -0.012152
0.98419 55.286 76.137 56.462 60.407 -0.2063 -0.0087217
0.98535 55.243 75.927 56.547 60.42 -0.17222 -0.0044461
0.98615 55.197 75.74 56.632 60.441 -0.14366 0.00048829
0.98659 55.151 75.568 56.711 60.472 -0.12139 0.0059266
0.98667 55.111 75.402 56.777 60.511 -0.10595 0.011744
0.98643 55.084 75.232 56.828 60.556 -0.097627 0.01784
0.98591 55.074 75.052 56.86 60.607 -0.09634 0.024128
0.98518 55.088 74.856 56.874 60.661 -0.10166 0.030525
0.98432 55.126 74.646 56.872 60.716 -0.11277 0.036943
0.9834 55.19 74.424 56.856 60.769 -0.12853 0.043276
0.98249 55.278 74.197 56.83 60.819 -0.14752 0.049396
0.98167 55.385 73.975 56.801 60.865 -0.1681 0.055151
0.98097 55.503 73.768 56.774 60.903 -0.18855 0.060363
0.98045 55.624 73.589 56.754 60.935 -0.20717 0.064842
0.98011 55.74 73.447 56.747 60.96 -0.22239 0.068389
0.97999 55.841 73.351 56.757 60.978 -0.23288 0.070817
0.98006 55.921 73.308 56.786 60.99 -0.23765 0.071966
0.98031 55.974 73.321 56.837 60.998 -0.23612 0.071719
0.98071 55.997 73.392 56.909 61.003 -0.22815 0.070025
0.98122 55.988 73.518 57.002 61.005 -0.21406 0.066911
0.98181 55.95 73.697 57.113 61.007 -0.19458 0.06249
0.98242 55.885 73.921 57.238 61.009 -0.17077 0.056969
0.98302 55.799 74.181 57.373 61.01 -0.14399 0.050645
0.98356 55.696 74.468 57.514 61.011 -0.11572 0.043895
0.98402 55.584 74.769 57.654 61.012 -0.087463 0.037157
0.98437 55.467 75.072 57.789 61.012 -0.06063 0.030907
0.9846 55.351 75.365 57.915 61.011 -0.036399 0.025629
0.98469 55.24 75.638 58.025 61.009 -0.015627 0.02178
0.98465 55.137 75.881 58.118 61.007 0.0012249 0.019759
0.98448 55.046 76.089 58.191 61.004 0.014124 0.019878
0.98421 54.968 76.258 58.242 61.003 0.023471 0.022329
0.98386 54.904 76.387 58.27 61.005 0.030054 0.02717
0.98344 54.856 76.48 58.275 61.011 0.034969 0.034315
0.98299 54.823 76.539 58.259 61.023 0.039512 0.043531
0.98253 54.806 76.571 58.224 61.042 0.045042 0.054453
0.98209 54.804 76.581 58.171 61.068 0.05283 0.066603
0.98169 54.817 76.576 58.102 61.101 0.063914 0.079421
0.98135 54.843 76.56 58.021 61.142 0.078956 0.092303
0.98109 54.88 76.539 57.93 61.188 0.098135 0.10464
0.98092 54.928 76.516 57.831 61.238 0.12106 0.11587
0.98085 54.983 76.494 57.726 61.289 0.14677 0.12548
0.98087 55.042 76.474 57.618 61.339 0.1737 0.13311
0.98097 55.104 76.457 57.508 61.384 0.19981 0.1385
0.98115 55.166 76.442 57.399 61.424 0.22266 0.14156
0.98139 55.225 76.426 57.293 61.454 0.23964 0.14234
0.98166 55.28 76.408 57.192 61.474 0.24808 0.14106
0.98194 55.328 76.385 57.098 61.482 0.24556 0.13804
0.98221 55.368 76.353 57.014 61.478 0.23007 0.13371
0.98244 55.398 76.31 56.943 61.461 0.20021 0.12857
0.98262 55.418 76.257 56.887 61.432 0.15543 0.12314
0.98272 55.426 76.196 56.849 61.392 0.096041 0.1179
0.98272 55.421 76.132 56.831 61.343 0.023377 0.11331
0.98262 55.403 76.073 56.833 61.288 -0.060278 0.1097
0.98242 55.37 76.032 56.856 61.227 -0.15175 0.10732
0.98213 55.324 76.024 56.899 61.164 -0.24713 0.10626
0.98176 55.267 76.062 56.958 61.101 -0.34199 0.10647
0.98134 55.202 76.163 57.03 61.041 -0.43164 0.10778
0.9809 55.136 76.339 57.109 60.986 -0.5114 0.10988
0.98048 55.075 76.598 57.19 60.939 -0.57691 0.11238
0.98011 55.028 76.945 57.265 60.902 -0.62443 0.11482
0.97984 55.006 77.374 57.327 60.875 -0.65102 0.11671
0.97969 55.018 77.875 57.37 60.861 -0.65481 0.11758
0.9797 55.074 78.429 57.387 60.857 -0.63506 0.11701
0.97987 55.18 79.01 57.374 60.865 -0.59223 0.11463
0.9802 55.339 79.585 57.328 60.882 -0.52792 0.11023
0.98068 55.55 80.118 57.248 60.905 -0.44481 0.10369
0.98129 55.803 80.571 57.136 60.931 -0.34639 0.095024
0.98198 56.085 80.907 56.995 60.955 -0.23679 0.084395
0.98271 56.373 81.095 56.828 60.974 -0.12049 0.072079
0.98344 56.639 81.113 56.642 60.983 -0.0019948 0.058451
0.98411 56.848 80.95 56.442 60.979 0.11439 0.043962
0.98468 56.963 80.611 56.232 60.958 0.22485 0.029104
0.98513 56.943 80.113 56.015 60.918 0.32627 0.014375
0.98543 56.752 79.485 55.792 60.859 0.41637 0.0002505
0.98558 56.355 78.77 55.56 60.781 0.49382 -0.012854
0.98559 55.726 78.014 55.313 60.684 0.55825 -0.024606
0.98547 54.852 77.268 55.043 60.573 0.61017 -0.034771
0.98526 53.728 76.579 54.737 60.451 0.65093 -0.043229
0.98498 52.367 75.986 54.381 60.321 0.68249 -0.049974
0.98468 50.794 75.519 53.959 60.189 0.70729 -0.055106
0.9844 49.049 75.194 53.455 60.059 0.72799 -0.05882
0.98415 47.18 75.013 52.853 59.935 0.74729 -0.061382
0.98397 45.246 74.963 52.142 59.821 0.7677 -0.063108
0.98388 43.307 75.023 51.313 59.721 0.79137 -0.06433
0.98387 41.426 75.16 50.362 59.636 0.81995 -0.065376
0.98396 39.657 75.34 49.291 59.569 0.85447 -0.066536
0.98414 38.05 75.527 48.11 59.52 0.89533 -0.068044
0.98439 36.641 75.687 46.834 59.49 0.94224 -0.070062
0.9847 35.454 75.793 45.484 59.478 0.9943 -0.072665
0.98504 34.499 75.825 44.088 59.484 1.0501 -0.075845
0.9854 33.774 75.771 42.675 59.505 1.1076 -0.07951
0.98576 33.265 75.627 41.28 59.541 1.1649 -0.0835
0.98609 32.95 75.398 39.938 59.588 1.2194 -0.087602
0.98638 32.798 75.092 38.68 59.646 1.269 -0.091573
0.98663 32.777 74.723 37.539 59.71 1.3115 -0.095162
0.98681 32.854 74.307 36.54 59.78 1.3449 -0.098135
0.98692 32.998 73.863 35.704 59.853 1.3676 -0.1003
0.98696 33.18 73.407 35.045 59.926 1.3787 -0.10151
0.98693 33.377 72.958 34.568 59.998 1.3773 -0.1017
0.98682 33.57 72.53 34.274 60.068 1.3634 -0.10088
0.98666 33.747 72.137 34.153 60.134 1.3372 -0.09911
0.98644 33.901 71.791 34.19 60.195 1.2994 -0.096539
0.98618 34.027 71.501 34.366 60.251 1.251 -0.093355
0.98587 34.127 71.274 34.656 60.302 1.1934 -0.089785
0.98555 34.203 71.114 35.033 60.348 1.1281 -0.086067
0.98521 34.26 71.024 35.47 60.389 1.057 -0.082432
0.98487 34.304 71.003 35.939 60.426 0.98173 -0.07909
0.98453 34.34 71.047 36.414 60.46 0.90425 -0.076207
0.9842 34.374 71.148 36.874 60.492 0.82638 -0.0739
0.9839 34.41 71.298 37.3 60.521 0.74991 -0.072229
0.98361 34.454 71.484 37.678 60.548 0.67654 -0.071201
0.98335 34.507 71.694 38 60.572 0.60784 -0.070771
0.98311 34.572 71.914 38.263 60.595 0.54522 -0.070859
0.98289 34.651 72.133 38.467 60.613 0.48992 -0.071356
0.9827 34.743 72.342 38.618 60.627 0.44292 -0.072145
0.98252 34.85 72.532 38.723 60.634 0.40497 -0.073109
0.98236 34.971 72.702 38.794 60.633 0.37648 -0.074152
0.98221 35.106 72.85 38.844 60.623 0.35752 -0.075197
0.98207 35.253 72.981 38.884 60.603 0.3478 -0.076203
0.98196 35.412 73.1 38.929 60.572 0.34663 -0.077155
0.98186 35.582 73.212 38.99 60.53 0.35293 -0.07807
0.98177 35.761 73.327 39.078 60.479 0.36528 -0.078983
0.9817 35.949 73.45 39.201 60.421 0.38192 -0.079943
0.98164 36.142 73.589 39.367 60.359 0.40088 -0.080995
0.98158 36.34 73.75 39.578 60.296 0.42005 -0.082175
0.98151 36.539 73.939 39.838 60.237 0.43731 -0.083499
0.98142 36.735 74.163 40.146 60.186 0.45067 -0.08495
0.9813 36.927 74.425 40.498 60.144 0.45837 -0.086479
0.98114 37.109 74.729 40.891 60.115 0.45904 -0.087997
0.98093 37.279 75.076 41.319 60.1 0.4518 -0.089383
0.98067 37.433 75.465 41.774 60.097 0.4363 -0.090487
0.98036 37.569 75.889 42.248 60.104 0.41276 -0.091138
0.98001 37.686 76.341 42.732 60.119 0.38201 -0.091157
0.97965 37.781 76.805 43.217 60.137 0.34536 -0.09037
0.97928 37.857 77.266 43.692 60.152 0.30456 -0.088622
0.97894 37.913 77.706 44.148 60.162 0.26163 -0.085792
0.97865 37.954 78.109 44.576 60.162 0.21874 -0.081808
0.97842 37.981 78.459 44.966 60.148 0.17803 -0.076656
0.97827 37.999 78.748 45.312 60.122 0.14144 -0.07039
0.9782 38.011 78.969 45.605 60.081 0.11057 -0.063138
0.9782 38.023 79.126 45.841 60.029 0.086595 -0.055103
0.97826 38.036 79.223 46.015 59.969 0.070134 -0.046557
0.97836 38.055 79.268 46.127 59.904 0.06126 -0.037836
0.97848 38.08 79.273 46.177 59.84 0.059496 -0.029321
0.97858 38.112 79.247 46.169 59.781 0.063877 -0.021425
0.97865 38.151 79.195 46.108 59.73 0.073039 -0.014565
0.97868 38.195 79.121 46.003 59.693 0.085343 -0.0091385
0.97864 38.242 79.025 45.865 59.669 0.099007 -0.0054976
0.97856 38.289 78.903 45.707 59.659 0.11225 -0.0039206
0.97842 38.334 78.748 45.543 59.662 0.1234 -0.0045886
0.97825 38.375 78.556 45.389 59.676 0.13104 -0.0075657
0.97806 38.41 78.322 45.259 59.696 0.13405 -0.012786
0.97788 38.438 78.046 45.168 59.718 0.13166 -0.020047
0.97771 38.458 77.733 45.129 59.739 0.12348 -0.029016
0.97759 38.471 77.393 45.152 59.752 0.10946 -0.039242
0.97751 38.479 77.043 45.242 59.756 0.089876 -0.050179
0.97748 38.482 76.703 45.404 59.745 0.065209 -0.061216
0.9775 38.482 76.396 45.635 59.72 0.036118 -0.07172
0.97757 38.482 76.149 45.93 59.679 0.0033443 -0.081071
0.97767 38.483 75.985 46.278 59.623 -0.032363 -0.08871
0.97781 38.486 75.923 46.666 59.554 -0.070299 -0.094176
0.97797 38.492 75.976 47.079 59.476 -0.10985 -0.097145
0.97816 38.5 76.152 47.498 59.391 -0.15049 -0.097449
0.97837 38.511 76.445 47.907 59.305 -0.19182 -0.095099
0.97861 38.522 76.846 48.287 59.221 -0.23351 -0.090281
0.9789 38.533 77.335 48.623 59.144 -0.27528 -0.083347
0.97922 38.541 77.884 48.903 59.076 -0.31688 -0.074793
0.9796 38.546 78.463 49.118 59.022 -0.358 -0.06522
0.98001 38.545 79.039 49.263 58.982 -0.39829 -0.055296
0.98047 38.539 79.58 49.338 58.958 -0.43728 -0.045704
0.98096 38.526 80.057 49.346 58.949 -0.47441 -0.037093
0.98145 38.509 80.447 49.294 58.954 -0.50899 -0.030032
0.98194 38.487 80.732 49.193 58.973 -0.54025 -0.024969
0.98239 38.463 80.906 49.054 59.003 -0.56736 -0.022198
0.98279 38.441 80.97 48.89 59.041 -0.58949 -0.021843
0.98312 38.423 80.933 48.711 59.086 -0.60583 -0.023852
0.98337 38.413 80.812 48.528 59.136 -0.61569 -0.028006
0.98354 38.415 80.629 48.35 59.187 -0.61856 -0.033939
0.98362 38.429 80.407 48.179 59.237 -0.61413 -0.041174
0.98363 38.46 80.169 48.019 59.286 -0.60237 -0.049161
0.98357 38.506 79.933 47.866 59.33 -0.58352 -0.057327
0.98348 38.567 79.713 47.716 59.369 -0.55817 -0.065118
0.98337 38.64 79.512 47.561 59.401 -0.5272 -0.072046
0.98326 38.721 79.328 47.393 59.426 -0.49175 -0.077728
0.98317 38.805 79.149 47.203 59.442 -0.45322 -0.081909
0.98312 38.884 78.96 46.982 59.45 -0.41319 -0.084481
0.98313 38.953 78.743 46.724 59.451 -0.37332 -0.08549
0.98319 39.003 78.481 46.425 59.446 -0.33529 -0.085118
0.98332 39.028 78.161 46.086 59.437 -0.30069 -0.083673
0.98351 39.022 77.773 45.709 59.425 -0.27092 -0.081552
0.98374 38.983 77.317 45.303 59.413 -0.24715 -0.079206
0.98401 38.908 76.798 44.879 59.403 -0.23017 -0.077101
0.9843 38.798 76.228 44.452 59.396 -0.2204 -0.075674
0.9846 38.657 75.625 44.04 59.395 -0.21784 -0.075301
0.98488 38.489 75.008 43.66 59.398 -0.22203 -0.076259
0.98514 38.303 74.398 43.332 59.405 -0.23214 -0.07871
