SaO2sup Pa_CO2 P_a Vmca_d TOI_d HbT_d CCO_d
0.98072 39.06 81.684 56.539 58.475 -1.0733 -0.03166
0.98103 39.052 81.518 56.274 58.501 -1.1055 -0.027076
0.98141 39.041 81.289 55.999 58.518 -1.1326 -0.021729
0.98185 39.024 81.01 55.721 58.527 -1.1536 -0.015683
0.98235 39.002 80.696 55.445 58.526 -1.1679 -0.009025
0.98286 38.976 80.363 55.177 58.516 -1.1749 -0.0018811
0.98337 38.946 80.025 54.92 58.498 -1.1745 0.0055862
0.98385 38.916 79.698 54.68 58.473 -1.1668 0.013174
0.98427 38.887 79.393 54.459 58.442 -1.152 0.02064
0.98462 38.861 79.123 54.26 58.406 -1.1307 0.027711
0.98488 38.842 78.896 54.085 58.367 -1.1034 0.034093
0.98504 38.83 78.718 53.935 58.327 -1.0708 0.039483
0.98511 38.827 78.595 53.811 58.287 -1.0336 0.04359
0.98508 38.833 78.53 53.715 58.248 -0.99268 0.046149
0.98497 38.846 78.522 53.645 58.211 -0.94867 0.046945
0.98479 38.866 78.57 53.602 58.177 -0.90228 0.04583
0.98456 38.891 78.671 53.585 58.148 -0.85418 0.042737
0.98431 38.918 78.819 53.591 58.123 -0.805 0.037697
0.98405 38.946 79.006 53.621 58.103 -0.75535 0.030837
0.9838 38.97 79.224 53.67 58.089 -0.70586 0.022391
0.98358 38.988 79.462 53.736 58.081 -0.65719 0.012683
0.9834 38.995 79.709 53.815 58.08 -0.61007 0.0021225
0.98329 38.99 79.953 53.905 58.086 -0.56533 -0.0088181
0.98324 38.968 80.184 54.002 58.099 -0.52393 -0.019627
0.98326 38.927 80.393 54.101 58.12 -0.48692 -0.029781
0.98335 38.865 80.571 54.2 58.148 -0.45551 -0.038774
0.98349 38.781 80.713 54.294 58.184 -0.43097 -0.046147
0.98366 38.675 80.818 54.382 58.227 -0.41461 -0.051515
0.98383 38.551 80.886 54.462 58.277 -0.40772 -0.054594
0.98398 38.414 80.919 54.531 58.331 -0.41149 -0.055215
0.98407 38.273 80.924 54.589 58.391 -0.42688 -0.053335
0.98405 38.14 80.909 54.635 58.454 -0.45453 -0.049044
0.9839 38.028 80.882 54.67 58.519 -0.49466 -0.042557
0.98357 37.955 80.852 54.694 58.585 -0.54701 -0.034201
0.98307 37.939 80.829 54.709 58.65 -0.61071 -0.024396
0.98238 37.996 80.822 54.715 58.713 -0.6843 -0.013629
0.98153 38.143 80.835 54.714 58.773 -0.76569 -0.0024193
0.98054 38.395 80.871 54.706 58.828 -0.85224 0.008706
0.97948 38.759 80.93 54.693 58.878 -0.94086 0.019251
0.9784 39.239 81.006 54.677 58.923 -1.0281 0.028777
0.97738 39.832 81.089 54.658 58.961 -1.1104 0.03693
0.9765 40.527 81.168 54.637 58.993 -1.1842 0.043458
0.97583 41.306 81.226 54.617 59.02 -1.2463 0.048224
0.97544 42.145 81.25 54.599 59.043 -1.2939 0.05121
0.97534 43.018 81.225 54.586 59.061 -1.325 0.052507
0.97557 43.894 81.138 54.579 59.077 -1.3382 0.052311
0.97612 44.741 80.985 54.582 59.092 -1.3333 0.050895
0.97693 45.533 80.765 54.599 59.107 -1.3109 0.048592
0.97797 46.244 80.484 54.632 59.124 -1.2728 0.045759
0.97915 46.857 80.155 54.687 59.144 -1.2214 0.042758
0.9804 47.36 79.798 54.766 59.17 -1.1599 0.039921
0.98164 47.749 79.436 54.872 59.202 -1.0919 0.037529
0.9828 48.026 79.093 55.008 59.241 -1.0214 0.035795
0.98381 48.2 78.796 55.175 59.287 -0.9521 0.03485
0.98464 48.285 78.567 55.371 59.341 -0.88756 0.034739
0.98525 48.296 78.424 55.597 59.401 -0.8307 0.035424
0.98566 48.25 78.379 55.848 59.467 -0.78372 0.036796
0.98586 48.165 78.435 56.121 59.536 -0.74794 0.038689
